Date,Time,MsgType,Symbol,Side,OrderQty,Price,OrderID,ExecType,OrdStatus
2024-09-09,19:30:19.319,,USD/BRL,,,,,,
2024-09-09,19:30:19.952,,USD/BRL,,,,,,
2024-09-09,19:30:21.776,,USD/BRL,,,,,,
2024-09-09,19:30:24.965,,USD/BRL,,,,,,
2024-09-09,19:30:24.967,,USD/BRL,,,,,,
2024-09-09,19:30:29.973,,USD/BRL,,,,,,
2024-09-09,19:30:29.975,,USD/BRL,,,,,,
2024-09-09,19:30:34.993,,USD/BRL,,,,,,
2024-09-09,19:30:34.994,,USD/BRL,,,,,,
2024-09-09,19:30:40.002,,USD/BRL,,,,,,
2024-09-09,19:30:40.003,,USD/BRL,,,,,,
2024-09-09,19:30:45.008,,USD/BRL,,,,,,
2024-09-09,19:30:45.010,,USD/BRL,,,,,,
2024-09-09,19:30:48.954,,USD/BRL,,,,,,
2024-09-09,19:30:50.019,,USD/BRL,,,,,,
2024-09-09,19:30:50.022,,USD/BRL,,,,,,
2024-09-09,19:30:50.022,,USD/BRL,,,,,,
2024-09-09,19:30:55.027,,USD/BRL,,,,,,
2024-09-09,19:30:55.028,,USD/BRL,,,,,,
2024-09-09,19:30:55.030,,USD/BRL,,,,,,
2024-09-09,19:31:00.040,,USD/BRL,,,,,,
2024-09-09,19:31:00.041,,USD/BRL,,,,,,
2024-09-09,19:31:00.041,,USD/BRL,,,,,,
